Billing Code,Category,Description,Charge $,Charge T,Charge P,Charge P1
A906,,,73.25,,,
A911,,,150.7,,,
A912,,,226.05,,,
A913,,,150.7,,,
A914,,,226.05,,,
A915,,,108.95,,,
A917,,,37.95,,,
A920,,,161.15,,,
A921,,,36.85,,,
A922,,,207.8,,,
A927,,,37.95,,,
A930,,,150,,,
A933,,,79.9,,,
A935,,,163.2,,,
A937,,,37.95,,,
A945,,,159.2,,,
A947,,,37.95,,,
A957,,,37.95,,,
A960,,,36.4,,,
A962,,,36.4,,,
A963,,,36.4,,,
A964,,,36.4,,,
A967,,,37.95,,,
A990,,,20,,,
A994,,,60,,,
A996,,,100,,,
A998,,,75,,,
B960,,,36.4,,,
B961,,,36.4,,,
B962,,,36.4,,,
B963,,,36.4,,,
B964,,,36.4,,,
B966,,,36.4,,,
B986,,,36.4,,,
B987,,,110,,,
B988,,,82.5,,,
B990,,,27.5,,,
B992,,,44,,,
B993,,,82.5,,,
B994,,,66,,,
B996,,,110,,,
B997,,,110,,,
B998,,,82.5,,,
C002,,,34.1,,,
C003,,,87.35,,,
C004,,,38.35,,,
C005,,,87.9,,,
C006,,,45.9,,,
C007,,,34.1,,,
C008,,,34.1,,,
C009,,,34.1,,,
C010,,,34.1,,,
C012,,,31,,,
C013,,,64.65,,,
C014,,,28,,,
C015,,,109.7,,,
C016,,,52.15,,,
C017,,,31,,,
C018,,,31,,,
C019,,,31,,,
C020,,,60,,,
C022,,,34.1,,,
C023,,,43,,,
C024,,,25.4,,,
C025,,,147.3,,,
C026,,,44.45,,,
C027,,,34.1,,,
C028,,,34.1,,,
C029,,,34.1,,,
C032,,,34.1,,,
C033,,,47.3,,,
C034,,,30.8,,,
C035,,,96.2,,,
C036,,,64.1,,,
C037,,,34.1,,,
C038,,,34.1,,,
C039,,,34.1,,,
C042,,,31,,,
C043,,,58.25,,,
C044,,,30,,,
C045,,,130.75,,,
C046,,,58.25,,,
C047,,,31,,,
C048,,,31,,,
C049,,,31,,,
C050,,,144.75,,,
C051,,,70.9,,,
C052,,,34.1,,,
C053,,,79.85,,,
C054,,,61.25,,,
C055,,,125.6,,,
C056,,,84.2,,,
C057,,,34.1,,,
C058,,,34.1,,,
C059,,,34.1,,,
C062,,,31,,,
C063,,,42.55,,,
C064,,,25.5,,,
C065,,,83.85,,,
C066,,,51.7,,,
C067,,,31,,,
C068,,,31,,,
C069,,,31,,,
C071,,,91.9,,,
C072,,,34.1,,,
C073,,,90.45,,,
C074,,,72.9,,,
C075,,,232.1,,,
C076,,,105.25,,,
C077,,,34.1,,,
C078,,,34.1,,,
C079,,,34.1,,,
C082,,,31,,,
C083,,,46.8,,,
C084,,,30,,,
C085,,,91.35,,,
C086,,,54,,,
C087,,,31,,,
C088,,,31,,,
C089,,,31,,,
C092,,,31,,,
C093,,,46.4,,,
C094,,,27.25,,,
C095,,,94.3,,,
C096,,,62.65,,,
C097,,,31,,,
C098,,,31,,,
C099,,,31,,,
C101,,,9.1,,,
C102,,,36.4,,,
C103,,,36.4,,,
C104,,,36.4,,,
C105,,,60,,,
C106,,,75,,,
C107,,,100,,,
C108,,,75,,,
C109,,,60,,,
C110,,,100,,,
C111,,,76.3,,,
C112,,,34.1,,,
C113,,,93.95,,,
C114,,,65.9,,,
C116,,,108.95,,,
C117,,,34.1,,,
C118,,,34.1,,,
C119,,,34.1,,,
C121,,,34.1,,,
C122,,,61.15,,,
C123,,,61.15,,,
C124,,,61.15,,,
C130,,,310.45,,,
C131,,,70.9,,,
C132,,,34.1,,,
C133,,,81.55,,,
C134,,,61.25,,,
C135,,,164.9,,,
C136,,,105.25,,,
C137,,,34.1,,,
C138,,,34.1,,,
C139,,,34.1,,,
C142,,,61.15,,,
C143,,,61.15,,,
C150,,,310.45,,,
C151,,,74.8,,,
C152,,,34.1,,,
C153,,,84.6,,,
C154,,,62.85,,,
C155,,,165.3,,,
C156,,,105.25,,,
C157,,,34.1,,,
C158,,,34.1,,,
C159,,,34.1,,,
C160,,,310.45,,,
C161,,,71.85,,,
C162,,,34.1,,,
C163,,,80.95,,,
C164,,,62.1,,,
C165,,,162.9,,,
C166,,,105.25,,,
C167,,,34.1,,,
C168,,,34.1,,,
C169,,,34.1,,,
C172,,,31,,,
C173,,,44.4,,,
C174,,,25.95,,,
C175,,,107.45,,,
C176,,,60,,,
C177,,,31,,,
C178,,,31,,,
C179,,,31,,,
C180,,,310.45,,,
C181,,,75.2,,,
C182,,,34.1,,,
C183,,,82.4,,,
C184,,,64.95,,,
C185,,,184.4,,,
C186,,,87.7,,,
C187,,,34.1,,,
C188,,,34.1,,,
C189,,,34.1,,,
C190,,,310.45,,,
C192,,,34.1,,,
C193,,,86.35,,,
C194,,,66.25,,,
C196,,,105.25,,,
C197,,,34.1,,,
C198,,,34.1,,,
C199,,,34.1,,,
C202,,,31,,,
C203,,,52.15,,,
C204,,,36.85,,,
C205,,,111.7,,,
C206,,,59.45,,,
C207,,,31,,,
C208,,,31,,,
C209,,,31,,,
C210,,,163.2,,,
C215,,,69.75,,,
C220,,,310.45,,,
C222,,,34.1,,,
C223,,,401.3,,,
C225,,,167.9,,,
C226,,,105.25,,,
C227,,,34.1,,,
C229,,,34.1,,,
C231,,,148.5,,,
C232,,,31,,,
C233,,,57.7,,,
C234,,,29.35,,,
C235,,,82.4,,,
C236,,,45.85,,,
C237,,,31,,,
C238,,,31,,,
C239,,,31,,,
C242,,,31,,,
C243,,,43.2,,,
C244,,,27.5,,,
C245,,,83.95,,,
C246,,,48.6,,,
C247,,,31,,,
C248,,,31,,,
C249,,,31,,,
C250,,,120,,,
C255,,,105.25,,,
C260,,,310.45,,,
C262,,,34.1,,,
C263,,,82.9,,,
C264,,,61.25,,,
C265,,,181.45,,,
C266,,,91.35,,,
C268,,,34.1,,,
C275,,,105.25,,,
C283,,,82.5,,,
C285,,,163,,,
C286,,,108.95,,,
C288,,,30.1,,,
C311,,,73.95,,,
C312,,,34.1,,,
C313,,,77.2,,,
C314,,,67.8,,,
C315,,,208.75,,,
C316,,,95.25,,,
C317,,,34.1,,,
C318,,,34.1,,,
C319,,,34.1,,,
C325,,,105.25,,,
C330,,,89.5,,,
C332,,,199.7,,,
C335,,,50,,,
C341,,,71.4,,,
C342,,,34.1,,,
C343,,,80.4,,,
C344,,,61.7,,,
C345,,,158.05,,,
C346,,,102.9,,,
C347,,,34.1,,,
C348,,,34.1,,,
C349,,,34.1,,,
C352,,,31.6,,,
C353,,,46.8,,,
C354,,,26.7,,,
C355,,,84.7,,,
C356,,,59,,,
C357,,,31.6,,,
C358,,,31.6,,,
C359,,,31.6,,,
C365,,,223.2,,,
C375,,,105.25,,,
C384,,,200,,,
C385,,,87.7,,,
C395,,,105.25,,,
C400,,,240.55,,,
C405,,,84.2,,,
C411,,,70.9,,,
C412,,,34.1,,,
C413,,,80.35,,,
C414,,,61.25,,,
C415,,,157,,,
C416,,,105.25,,,
C417,,,34.1,,,
C418,,,34.1,,,
C419,,,34.1,,,
C425,,,310.45,,,
C435,,,105.25,,,
C441,,,70.9,,,
C442,,,34.1,,,
C443,,,79.85,,,
C444,,,61.25,,,
C445,,,166.5,,,
C446,,,105.25,,,
C447,,,34.1,,,
C448,,,34.1,,,
C449,,,34.1,,,
C460,,,310.45,,,
C461,,,83.85,,,
C462,,,34.1,,,
C463,,,94.4,,,
C464,,,72.45,,,
C465,,,181.65,,,
C466,,,109.4,,,
C467,,,34.1,,,
C468,,,34.1,,,
C469,,,34.1,,,
C470,,,310.45,,,
C471,,,73.75,,,
C472,,,34.1,,,
C473,,,84.65,,,
C474,,,63.7,,,
C475,,,169.65,,,
C476,,,105.25,,,
C477,,,34.1,,,
C478,,,34.1,,,
C479,,,34.1,,,
C480,,,92.2,,,
C481,,,72.65,,,
C482,,,34.1,,,
C483,,,81.7,,,
C484,,,62.6,,,
C485,,,170.1,,,
C486,,,109.35,,,
C487,,,34.1,,,
C488,,,34.1,,,
C489,,,34.1,,,
C510,,,93.7,,,
C511,,,102.55,,,
C515,,,95.25,,,
C525,,,105.25,,,
C545,,,105.25,,,
C565,,,91.35,,,
C570,,,89.85,,,
C575,,,105.25,,,
C585,,,73.3,,,
C586,,,71.2,,,
C590,,,310.45,,,
C595,,,109.35,,,
C600,,,310.45,,,
C601,,,70.9,,,
C602,,,34.1,,,
C603,,,81.55,,,
C604,,,61.25,,,
C605,,,161.65,,,
C606,,,105.25,,,
C607,,,34.1,,,
C608,,,34.1,,,
C609,,,34.1,,,
C611,,,76.2,,,
C612,,,34.1,,,
C613,,,85.8,,,
C614,,,65.85,,,
C615,,,172,,,
C616,,,105.25,,,
C617,,,34.1,,,
C618,,,34.1,,,
C619,,,34.1,,,
C621,,,71.8,,,
C622,,,34.1,,,
C623,,,80.9,,,
C624,,,62.05,,,
C625,,,159,,,
C626,,,105.25,,,
C627,,,34.1,,,
C628,,,34.1,,,
C629,,,34.1,,,
C635,,,157,,,
C636,,,70,,,
C642,,,31,,,
C643,,,44.4,,,
C644,,,25.95,,,
C645,,,98.55,,,
C646,,,60,,,
C647,,,31,,,
C648,,,31,,,
C649,,,31,,,
C655,,,105.25,,,
C661,,,74.75,,,
C662,,,401.3,,,
C665,,,100.55,,,
C667,,,401.3,,,
C675,,,105.25,,,
C680,,,144.75,,,
C682,,,401.3,,,
